System
Level,Log,Time,User,Event
Info,System,2025/10/27 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/27 04:47:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/27 04:44:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/27 04:41:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/27 04:38:41,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/27 04:35:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/26 08:17:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/25 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/24 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/23 08:17:37,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:38:40,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:35:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:29:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:20:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:14:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:10:44,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 16:10:41,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/22 08:17:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/21 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/20 08:17:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 07:47:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 07:44:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 07:38:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 07:32:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/19 07:26:39,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/18 08:17:38,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/17 08:17:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:47:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:44:40,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:41:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:32:38,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:23:39,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:20:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/16 08:18:31,SYSTEM,Domain [PEGA] is online.
Info,System,2025/10/16 08:17:37,SYSTEM,System successfully finished data scrubbing on [Storage Pool 2].
Info,System,2025/10/16 08:17:37,SYSTEM,System successfully finished filesystem scrubbing on [Volume 2].
Info,System,2025/10/16 08:16:27,SYSTEM,[Synology Drive Server] service was started.
Info,System,2025/10/16 08:16:12,SYSTEM,[Active Backup for Google Workspace] service was started.
Info,System,2025/10/16 08:15:41,SYSTEM,System starts filesystem scrubbing on [Volume 2].
Info,System,2025/10/16 08:15:38,SYSTEM,System successfully started [QuickConnect].
Warning,System,2025/10/16 08:15:38,SYSTEM,System booted up from an improper shutdown.
Info,System,2025/10/16 08:14:09,SYSTEM,IP address [169.254.91.170] and subnet mask [255.255.0.0] were assigned to the DHCP client on [ovs_eth2].
Info,System,2025/10/16 08:14:09,SYSTEM,IP address [169.254.27.98] and subnet mask [255.255.0.0] were assigned to the DHCP client on [ovs_eth3].
Info,System,2025/10/16 08:14:00,SYSTEM,System started to boot up.
Info,System,2025/10/15 17:04:27,SYSTEM,[LAN 1 (slave)] link down.
Info,System,2025/10/15 09:36:35,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 14:24:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 14:12:36,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 14:00:37,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 13:57:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 13:55:27,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 13:55:24,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/14 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:42:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:39:37,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:36:36,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:30:36,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:18:37,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:16:31,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 10:16:29,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/13 09:36:34,SYSTEM,System successfully registered [14.161.4.84] to [pegaholdings1.synology.me] in DDNS server [Synology].
Info,System,2025/10/12 09:36:34,SYSTEM,System successfully registered [113.161.92.1] to [pegaholdings1.synology.me] in DDNS server [Synology].
